lat,long,heading,v,dtheta,windN,windA,windT,rudder,sail
50.359792,-4.114962,0.743149,1.391833,0.030427,-0.000000,1.355633,-1.511121,-0.033172,1.340759,
50.359793,-4.114963,0.746071,1.390855,0.028574,0.000000,1.359748,-1.513498,-0.030880,1.340759,
50.359794,-4.114964,0.748814,1.389828,0.026834,0.000000,1.363614,-1.515647,-0.028727,1.340759,
50.359795,-4.114966,0.751391,1.388763,0.025201,-0.000000,1.367246,-1.517586,-0.026704,1.340759,
50.359796,-4.114967,0.753811,1.387669,0.023669,-0.000000,1.370659,-1.519337,-0.024805,1.340758,
50.359797,-4.114968,0.756084,1.386555,0.022232,0.000000,1.373864,-1.520915,-0.023020,1.340759,
50.359798,-4.114970,0.758219,1.385428,0.020883,-0.000000,1.376875,-1.522337,-0.021344,1.340759,
50.359799,-4.114971,0.760224,1.384296,0.019618,0.000000,1.379703,-1.523618,-0.019770,1.340759,
50.359800,-4.114972,0.762108,1.383162,0.018431,-0.000000,1.382360,-1.524771,-0.018290,1.340759,
50.359800,-4.114974,0.763879,1.382035,0.017317,0.000000,1.384856,-1.525807,-0.016900,1.340759,
50.359801,-4.114975,0.765542,1.380916,0.016273,0.000000,1.387202,-1.526738,-0.015594,1.340759,
50.359802,-4.114976,0.767105,1.379811,0.015293,0.000000,1.389406,-1.527574,-0.014367,1.340759,
50.359803,-4.114978,0.768574,1.378724,0.014374,0.000000,1.391477,-1.528324,-0.013213,1.340759,
50.359804,-4.114979,0.769955,1.377656,0.013511,0.000000,1.393423,-1.528996,-0.012128,1.340759,
50.359805,-4.114980,0.771254,1.376610,0.012702,-0.000000,1.395253,-1.529599,-0.011109,1.340759,
50.359806,-4.114982,0.772474,1.375588,0.011943,-0.000000,1.396973,-1.530137,-0.010150,1.340759,
50.359807,-4.114983,0.773622,1.374593,0.011230,-0.000000,1.398590,-1.530619,-0.009249,1.340759,
50.359808,-4.114984,0.774701,1.373624,0.010561,0.000000,1.400111,-1.531049,-0.008401,1.340759,
50.359809,-4.114986,0.775716,1.372684,0.009933,0.000000,1.401541,-1.531432,-0.007604,1.340759,
50.359810,-4.114987,0.776671,1.371772,0.009343,0.000000,1.402885,-1.531774,-0.006855,1.340759,
50.359811,-4.114989,0.777569,1.370890,0.008790,-0.000000,1.404150,-1.532078,-0.006149,1.340759,
50.359812,-4.114990,0.778414,1.370037,0.008270,0.000000,1.405340,-1.532349,-0.005486,1.340759,
50.359813,-4.114991,0.779209,1.369215,0.007781,0.000000,1.406460,-1.532588,-0.004861,1.340759,
50.359814,-4.114993,0.779957,1.368422,0.007322,-0.000000,1.407513,-1.532801,-0.004274,1.340759,
50.359815,-4.114994,0.780661,1.367658,0.006891,0.000000,1.408505,-1.532989,-0.003721,1.340759,
50.359815,-4.114995,0.781324,1.366924,0.006486,0.000000,1.409438,-1.533155,-0.003200,1.340759,
50.359816,-4.114997,0.781947,1.366219,0.006106,-0.000000,1.410316,-1.533302,-0.002710,1.340759,
50.359817,-4.114998,0.782535,1.365542,0.005748,0.000000,1.411143,-1.533431,-0.002249,1.340759,
50.359818,-4.114999,0.783087,1.364893,0.005412,0.000000,1.411921,-1.533544,-0.001815,1.340759,
50.359819,-4.115001,0.783608,1.364271,0.005096,0.000000,1.412654,-1.533643,-0.001406,1.340759,
50.359820,-4.115002,0.784098,1.363675,0.004799,-0.000000,1.413344,-1.533730,-0.001021,1.340759,
50.359821,-4.115003,0.784560,1.363105,0.004519,-0.000000,1.413994,-1.533805,-0.000659,1.340758,
50.359822,-4.115005,0.784994,1.362561,0.004256,0.000000,1.414606,-1.533870,-0.000317,1.340759,
50.359823,-4.115006,0.785404,1.362040,0.004009,0.000000,1.415183,-1.533927,0.000004,1.340759,
50.359824,-4.115007,0.785789,1.361544,0.003776,-0.000000,1.415726,-1.533975,0.000307,1.340759,
50.359825,-4.115009,0.786153,1.361069,0.003557,0.000000,1.416238,-1.534017,0.000592,1.340759,
50.359826,-4.115010,0.786495,1.360617,0.003351,-0.000000,1.416720,-1.534052,0.000861,1.340759,
50.359827,-4.115012,0.786817,1.360186,0.003157,0.000000,1.417174,-1.534082,0.001115,1.340759,
50.359827,-4.115013,0.787121,1.359775,0.002975,0.000000,1.417602,-1.534107,0.001353,1.340759,
50.359828,-4.115014,0.787407,1.359384,0.002803,0.000000,1.418005,-1.534127,0.001578,1.340759,
50.359829,-4.115016,0.787677,1.359012,0.002642,-0.000000,1.418385,-1.534144,0.001790,1.340759,
50.359830,-4.115017,0.787931,1.358658,0.002490,-0.000000,1.418744,-1.534158,0.001989,1.340759,
50.359831,-4.115018,0.788171,1.358321,0.002346,-0.000000,1.419081,-1.534168,0.002178,1.340758,
50.359832,-4.115020,0.788397,1.358000,0.002211,-0.000000,1.419399,-1.534177,0.002355,1.340759,
50.359833,-4.115021,0.788610,1.357696,0.002084,0.000000,1.419699,-1.534182,0.002522,1.340759,
50.359834,-4.115022,0.788810,1.357406,0.001965,-0.000000,1.419982,-1.534186,0.002680,1.340759,
50.359835,-4.115024,0.788999,1.357131,0.001852,0.000000,1.420249,-1.534189,0.002828,1.340759,
50.359836,-4.115025,0.789177,1.356870,0.001746,0.000000,1.420500,-1.534189,0.002968,1.340759,
50.359837,-4.115026,0.789345,1.356623,0.001646,-0.000000,1.420737,-1.534189,0.003100,1.340758,
50.359838,-4.115028,0.789504,1.356387,0.001552,-0.000000,1.420960,-1.534188,0.003224,1.340759,
50.359838,-4.115029,0.789653,1.356164,0.001463,-0.000000,1.421171,-1.534185,0.003342,1.340758,
50.359839,-4.115030,0.789794,1.355953,0.001379,0.000000,1.421369,-1.534182,0.003452,1.340759,
50.359840,-4.115032,0.789927,1.355752,0.001300,-0.000000,1.421556,-1.534179,0.003557,1.340758,
50.359841,-4.115033,0.790052,1.355562,0.001226,0.000000,1.421733,-1.534174,0.003655,1.340759,
50.359842,-4.115035,0.790170,1.355382,0.001156,-0.000000,1.421899,-1.534170,0.003748,1.340759,
50.359843,-4.115036,0.790281,1.355211,0.001090,0.000000,1.422056,-1.534165,0.003835,1.340759,
50.359844,-4.115037,0.790386,1.355049,0.001028,-0.000000,1.422204,-1.534160,0.003917,1.340758,
50.359845,-4.115039,0.790485,1.354895,0.000969,0.000000,1.422344,-1.534154,0.003995,1.340759,
50.359846,-4.115040,0.790578,1.354750,0.000914,0.000000,1.422476,-1.534149,0.004069,1.340759,
50.359847,-4.115041,0.790667,1.354612,0.000862,0.000000,1.422600,-1.534143,0.004138,1.340759,
50.359848,-4.115043,0.790749,1.354482,0.000813,0.000000,1.422717,-1.534138,0.004203,1.340759,
50.359848,-4.115044,0.790828,1.354359,0.000767,0.000000,1.422828,-1.534132,0.004264,1.340759,
50.359849,-4.115045,0.790902,1.354242,0.000723,0.000000,1.422932,-1.534126,0.004322,1.340759,
